Startup Name,Industry Vertical,City,Investment Type,Amount in USD,Date
Big Basket,E-Commerce,Bangalore,Private Equity,5000000.0,2017-10-26
OfBusiness,Technology,Gurgaon,Debt Funding,3800000.0,2017-10-27
CashFree,Technology,New Delhi,Seed Funding,120000.0,2017-10-28
Ola Cabs,Technology,Bangalore,Private Equity,7700000.0,2017-10-28
GoldFarm,Food and Beverage,Coimbatore,Private Equity,2000000.0,2017-10-30
NetMeds,E-Commerce,Chennai,Private Equity,14000000.0,2017-10-31
MSE,Finance,Mumbai,Private Equity,32000000.0,2017-10-31
Aahaa Stores,E-Commerce,Chennai,Private Equity,1000000.0,2017-01-09
MFine,Technology,Bangalore,Private Equity,1500000.0,2017-01-09
Canvera,Technology,Mumbai,Private Equity,1300000.0,2017-01-09
PrimaryIO,Technology,Pune,Private Equity,5600000.0,2017-04-09
Shubh Loans,Technology,Bangalore,Private Equity,1500000.0,2017-05-09
Nest Education,Technology,Gurgaon,Seed Funding,600000.0,2017-05-09
Lending Kart,Technology,Ahmedabad,Private Equity,10750000.0,2017-06-09
GoFro,Technology,New Delhi,Private Equity,10000000.0,2017-06-09
OncoStem,Healthcare,Bangalore,Private Equity,6000000.0,2017-06-09
Power2SME,E-Commerce,Gurgaon,Private Equity,26000000.0,2017-06-09
Credit Vidya,Technology,Mumbai,Private Equity,5000000.0,2017-07-09
OYO Rooms,Technology,Gurgaon,Private Equity,250000000.0,2017-07-09
Early Salary,Technology,Pune,Debt Funding,780000.0,2017-07-09
Seniority,E-Commerce,Pune,Private Equity,1000000.0,2017-07-09
AYE Finance,Technology,New Delhi,Debt Funding,6900000.0,2017-08-09
Call Health,Technology,Hyderabad,Private Equity,6200000.0,2017-11-09
3HCare,Technology,New Delhi,Seed Funding,100000.0,2017-12-09
Tonbo Imaging,Technology,Bangalore,Private Equity,17000000.0,2017-12-09
Get My Parking,Technology,New Delhi,Private Equity,3000000.0,2017-12-09
Glowroad,Technology,Bangalore,Private Equity,2000000.0,2017-09-13
OYO Rooms,Technology,Gurgaon,Private Equity,10000000.0,2017-09-13
Unacademy,Technology,Mumbai,Private Equity,11500000.0,2017-09-13
Heterogenous,Technology,Chennai,Seed Funding,780000.0,2017-09-13
Smaaash,Technology,Mumbai,Private Equity,44000000.0,2017-09-14
WheelStreet,Technology,Bangalore,Seed Funding,120000.0,2017-09-14
The Moms Co,E-Commerce,Gurgaon,Private Equity,1000000.0,2017-09-18
High Radius,Technology,Hyderabad,Private Equity,50000000.0,2017-09-19
SaveBC,Finance,Gaya,Private Equity,6000000.0,2017-09-21
Homergize,E-Commerce,Bangalore,Private Equity,1000000.0,2017-09-21
Yatra.com,E-Commerce,Gurgaon,Debt Funding,15400000.0,2017-09-22
Synup,Technology,Bangalore,Private Equity,6000000.0,2017-09-25
Rapido,Technology,Bangalore,Seed Funding,422000.0,2017-09-25
Sportobuddy,Technology,Mumbai,Seed Funding,150000.0,2017-09-25
Transerve,Technology,Mumbai,Private Equity,1600000.0,2017-09-27
Pitstop,Technology,Bangalore,Private Equity,1000000.0,2017-09-27
MyUpchar,Technology,New Delhi,Seed Funding,300000.0,2017-09-27
Aadyah,Technology,Bangalore,Private Equity,1000000.0,2017-09-28
TouchKin,Technology,Bangalore,Private Equity,1300000.0,2017-01-08
Zepo,Technology,Mumbai,Seed Funding,500000.0,2017-02-08
Click2Clinic,Technology,Hyderabad,Seed Funding,850000.0,2017-02-08
New Castle Technologies,Technology,Chennai,Seed Funding,243000.0,2017-08-08
My Forex Eye,Technology,New Delhi,Seed Funding,220000.0,2017-08-08
CroFarm,Technology,Gurgaon,Seed Funding,783000.0,2017-09-08
Flipkart,E-Commerce,Bangalore,Private Equity,2500000000.0,2017-11-08
Ola Cabs,Technology,Gurgaon,Private Equity,36000000.0,2017-11-08
Digilend,Technology,Mumbai,Seed Funding,312000.0,2017-08-14
KNAB Finance,Technology,Bangalore,Seed Funding,385000.0,2017-08-15
Rootefy,E-Commerce,New Delhi,Seed Funding,187000.0,2017-08-20
Uniphore,Technology,Chennai,Private Equity,6800000.0,2017-08-21
Cerebroz,Technology,Vadodara,Seed Funding,734000.0,2017-08-21
Dhruva,Technology,Pune,Private Equity,80000000.0,2017-08-23
Bombay Shaving Company,E-Commerce,New Delhi,Private Equity,2300000.0,2017-08-23
Indiez,Technology,Bangalore,Seed Funding,500000.0,2017-08-23
Ezetap,Technology,Bangalore,Private Equity,16000000.0,2017-08-24
Ink Monk,Technology,Chennai,Seed Funding,750000.0,2017-08-25
Medinfi,Technology,Bangalore,Seed Funding,125000.0,2017-08-25
Mobikon,Technology,Pune,Private Equity,7000000.0,2017-08-28
CureFit,Technology,Bangalore,Private Equity,25000000.0,2017-08-29
Doxper,Technology,Mumbai,Seed Funding,750000.0,2017-08-29
Treebo,Technology,Bangalore,Private Equity,34000000.0,2017-08-30
MedGenome,Technology,Bangalore,Private Equity,30000000.0,2017-08-30
Billion Loans,Technology,Bangalore,Seed Funding,1000000.0,2017-01-07
Ecolibriumenergy,Technology,Ahmedabad,Private Equity,2600000.0,2017-03-07
Droom,E-Commerce,Gurgaon,Private Equity,20000000.0,2017-04-07
Jumbotail,E-Commerce,Bangalore,Private Equity,8500000.0,2017-05-07
Moglix,E-Commerce,Noida,Private Equity,12000000.0,2017-05-07
Timesaverz,Technology,Mumbai,Private Equity,1000000.0,2017-05-07
Clip App,Technology,Bangalore,Seed Funding,1000000.0,2017-07-07
Autorox.co,Technology,Hyderabad,Private Equity,3000000.0,2017-10-07
Fabogo,Technology,Pune,Private Equity,2250000.0,2017-11-07
Flickstree,Technology,Mumbai,Seed Funding,464000.0,2017-11-07
Innoviti,Technology,Bangalore,Private Equity,18500000.0,2017-12-07
QwikSpec,Technology,Bangalore,Seed Funding,540000.0,2017-07-14
Chumbak,E-Commerce,Bangalore,Private Equity,1700000.0,2017-07-14
Increff,Technology,Bangalore,Seed Funding,2000000.0,2017-07-17
Vayana,Technology,Pune,Private Equity,4000000.0,2017-07-17
Rentomojo,Technology,Bangalore,Private Equity,10000000.0,2017-07-19
Playablo,Technology,Bangalore,Seed Funding,600000.0,2017-07-19
Trupay,Technology,Gurgaon,Seed Funding,700000.0,2017-07-20
Brick2Wall,E-Commerce,Gurgaon,Seed Funding,200000.0,2017-07-21
Noticeboard,Technology,Bangalore,Private Equity,1200000.0,2017-07-25
Byju\\xe2\\x80\\x99s,Technology,Bangalore,Private Equity,35000000.0,2017-07-25
Fab Hotels,Technology,New Delhi,Private Equity,25000000.0,2017-07-26
ThinkerBell,Technology,Bangalore,Seed Funding,200000.0,2017-07-26
1mg,E-Commerce,Gurgaon,Private Equity,15000000.0,2017-07-27
BigStylist,Technology,Mumbai,Private Equity,1250000.0,2017-07-28
RentOnGo,E-Commerce,Bangalore,Seed Funding,234000.0,2017-02-06
Goomo,Technology,Mumbai,Private Equity,50000000.0,2017-05-06
Spinny,E-Commerce,Gurgaon,Private Equity,1000000.0,2017-06-06
BHIVE Workspace,Technology,Bangalore,Private Equity,1200000.0,2017-06-06
wayForward,Technology,New Delhi,Seed Funding,1000000.0,2017-06-06
ZipLoan,Technology,New Delhi,Seed Funding,650000.0,2017-07-06
GrowFitter,Technology,Mumbai,Seed Funding,600000.0,2017-07-06
Stratfit,Technology,Hyderabad,Seed Funding,232000.0,2017-08-06
Multiplier Solutions,Technology,Hyderabad,Private Equity,1500000.0,2017-08-06
ABI Health,Technology,Bangalore,Private Equity,1500000.0,2017-08-06
Stockal,Technology,Bangalore,Seed Funding,350000.0,2017-08-06
Guidoo,Technology,Mumbai,Seed Funding,300000.0,2017-09-06
eSahai.in,Technology,Hyderabad,Seed Funding,250000.0,2017-09-06
LendingKart,Technology,Ahmedabad,Debt Funding,7800000.0,2017-12-06
Boxx.ai,Technology,Bangalore,Private Equity,500000.0,2017-12-06
PeeSafe.in,Healthcare,New Delhi,Private Equity,1000000.0,2017-12-06
Vista Rooms,Technology,Mumbai,Seed Funding,776000.0,2017-12-06
CoverFox,Technology,Mumbai,Private Equity,15000000.0,2017-12-06
Goodera,Technology,Bangalore,Private Equity,5500000.0,2017-06-13
Ola,Technology,Bangalore,Private Equity,50000000.0,2017-06-14
MrNeeds,Technology,Noida,Seed Funding,500000.0,2017-06-14
MoneyTap,Technology,Bangalore,Private Equity,12300000.0,2017-06-15
Goodbox,E-Commerce,Bangalore,Private Equity,1000000.0,2017-06-16
Fincash,Technology,Mumbai,Seed Funding,100000.0,2017-06-16
PortDesk,Technology,Noida,Seed Funding,2000000.0,2017-06-16
Unbxd,Technology,Bangalore,Private Equity,12500000.0,2017-06-19
DarwinBox,Technology,Hyderabad,Private Equity,4000000.0,2017-06-19
ForeverShop,Technology,Bangalore,Seed Funding,300000.0,2017-06-20
Insider.in,Technology,Mumbai,Private Equity,5200000.0,2017-06-20
Fynd,E-Commerce,Mumbai,Private Equity,2400000.0,2017-06-21
Grow Fit,Technology,Bangalore,Private Equity,4500000.0,2017-06-21
Fabulyst,Technology,Hyderabad,Seed Funding,215000.0,2017-06-21
mSwipe,Technology,Mumbai,Private Equity,31000000.0,2017-06-21
Julia Computing,Technology,Bangalore,Private Equity,4600000.0,2017-06-22
Kissht,Technology,Mumbai,Private Equity,2000000.0,2017-06-22
Explore Life traveling,Technology,Bangalore,Seed Funding,500000.0,2017-06-22
Loantap,Technology,Mumbai,Private Equity,4000000.0,2017-06-23
Voxweb,Technology,Mumbai,Seed Funding,1000000.0,2017-06-23
HUG Innovations,Technology,Hyderabad,Private Equity,5000000.0,2017-06-26
Flipkart,E-Commerce,Bangalore,Private Equity,71000000.0,2017-06-26
V Resorts,Technology,Noida,Private Equity,4000000.0,2017-06-26
Stashfin,Technology,New Delhi,Private Equity,5000000.0,2017-06-27
Spares Hub,E-Commerce,Pune,Seed Funding,311000.0,2017-06-27
Rubique,Technology,Mumbai,Private Equity,3000000.0,2017-06-28
Niki.ai,Technology,Bangalore,Private Equity,2000000.0,2017-06-28
Fitpass,Technology,New Delhi,Private Equity,1000000.0,2017-06-29
Tagos Design,Technology,Bangalore,Private Equity,5000000.0,2017-06-30
UrbanClap,Technology,Gurgaon,Private Equity,21000000.0,2017-06-30
Ace2three,Technology,Hyderabad,Private Equity,73700000.0,2017-01-05
Power2SME,E-Commerce,Gurgaon,Private Equity,10000000.0,2017-01-05
Innovapptive,Technology,Hyderabad,Seed Funding,1500000.0,2017-02-05
ZippServe,Technology,Bangalore,Seed Funding,390000.0,2017-02-05
Ola,Technology,Bangalore,Private Equity,104500000.0,2017-03-05
Sumeru,Technology,Bangalore,Seed Funding,1000000.0,2017-03-05
Balance App,Technology,Bangalore,Seed Funding,233000.0,2017-05-05
YepMe,E-Commerce,Gurgaon,Private Equity,700000.0,2017-08-05
MyGreens,Food and Beverage,New Delhi,Seed Funding,1000000.0,2017-08-05
Ace Turtle,Technology,Bangalore,Private Equity,5000000.0,2017-08-05
CureFit,Technology,Bangalore,Private Equity,3200000.0,2017-08-05
Curie Labs,Technology,New Delhi,Seed Funding,50000.0,2017-09-05
Vidooly,Technology,Noida,Private Equity,1400000.0,2017-10-05
Shopclues,E-Commerce,Gurgaon,Private Equity,7700000.0,2017-10-05
Fourth Ambit,Technology,Bangalore,Seed Funding,600000.0,2017-10-05
Early Salary,Technology,Pune,Private Equity,4000000.0,2017-11-05
Legal Raasta,Technology,New Delhi,Private Equity,5000000.0,2017-12-05
Remit Guru,Technology,Mumbai,Private Equity,466000.0,2017-12-05
Aequm,E-Commerce,Bangalore,Seed Funding,1000000.0,2017-12-05
Zapty,Technology,Bangalore,Seed Funding,500000.0,2017-05-15
Telr,Technology,Mumbai,Private Equity,3000000.0,2017-05-16
Fynd,E-Commerce,Mumbai,Private Equity,500000.0,2017-05-16
Genie,Technology,Chennai,Seed Funding,250000.0,2017-05-17
Paysense,Technology,Mumbai,Private Equity,5300000.0,2017-05-17
The Good Life,E-Commerce,Mumbai,Seed Funding,1000000.0,2017-05-18
Paytm,E-Commerce,Bangalore,Private Equity,1400000000.0,2017-05-18
EzCred,Technology,Bangalore,Seed Funding,1000000.0,2017-05-19
ZipGrid,Technology,Mumbai,Seed Funding,500000.0,2017-05-22
Magicpin,Technology,Gurgaon,Private Equity,6600000.0,2017-05-23
Box8,Technology,Mumbai,Private Equity,1000000.0,2017-05-23
GenNext Students,Technology,Mumbai,Seed Funding,580000.0,2017-05-24
Aye Finance,Finance,Gurgaon,Private Equity,8000000.0,2017-05-25
Collateral Medical,E-Commerce,Mumbai,Private Equity,3500000.0,2017-05-29
Supr Daily,Technology,Mumbai,Private Equity,1500000.0,2017-05-30
Swiggy,Technology,Bangalore,Private Equity,80000000.0,2017-05-30
SastaSundar,E-Commerce,Kolkata,Private Equity,5000000.0,2017-05-31
Magicpin,Technology,Gurgaon,Private Equity,7000000.0,2017-05-31
Cashe,Technology,Mumbai,Private Equity,3800000.0,2017-01-04
Healthcare at Home,Healthcare,Noida,Private Equity,40000000.0,2017-03-04
WayCool,Food and Beverage,Chennai,Private Equity,2700000.0,2017-04-04
Perfios,Technology,Bangalore,Private Equity,6100000.0,2017-04-04
Whatfix,Technology,Bangalore,Private Equity,3690000.0,2017-04-04
ElastiRun,Technology,Pune,Private Equity,7000000.0,2017-04-04
Trukky,Technology,Ahmedabad,Seed Funding,500000.0,2017-04-04
Konsult App,Technology,New Delhi,Seed Funding,500000.0,2017-04-04
Fingerlix,Technology,Mumbai,Private Equity,3000000.0,2017-05-04
Medwell Ventures,Healthcare,Bangalore,Private Equity,21000000.0,2017-06-04
Mech Mocha,Technology,Bangalore,Private Equity,5000000.0,2017-06-04
PharmEasy,E-Commerce,Mumbai,Private Equity,18000000.0,2017-07-04
FastFox,Technology,Gurgaon,Private Equity,4600000.0,2017-08-04
Omnify,Technology,Bangalore,Seed Funding,150000.0,2017-10-04
Capital Float,Technology,Bangalore,Private Equity,2300000.0,2017-10-04
Ninjacart,E-Commerce,Bangalore,Private Equity,5500000.0,2017-11-04
MergerWare,Technology,Bangalore,Seed Funding,100000.0,2017-11-04
Clovia,E-Commerce,New Delhi,Private Equity,4000000.0,2017-12-04
HackerEarth,Technology,Bangalore,Private Equity,4500000.0,2017-12-04
Squadrun,Technology,Noida,Private Equity,2100000.0,2017-12-04
WeAreHolidays,Technology,Gurgaon,Private Equity,7700000.0,2017-04-13
Ola Cabs,Technology,Bangalore,Private Equity,260000000.0,2017-04-14
Myly,Technology,Jaipur,Seed Funding,310000.0,2017-04-15
CrediHealth,Technology,Gurgaon,Private Equity,1500000.0,2017-04-17
Snackible,Food and Beverage,Mumbai,Seed Funding,175000.0,2017-04-17
Be U Salons,Technology,New Delhi,Seed Funding,620000.0,2017-04-17
LendingKart,Technology,Ahmedabad,Private Equity,4650000.0,2017-04-17
Innefu Security Consulting,Technology,New Delhi,Private Equity,2000000.0,2017-04-18
Whodat,Technology,Bangalore,Private Equity,600000.0,2017-04-18
Absentia VR,Technology,Bangalore,Private Equity,1250000.0,2017-04-18
IOTrek,Technology,New Delhi,Seed Funding,155000.0,2017-04-19
HolaChef,Technology,Mumbai,Private Equity,3000000.0,2017-04-20
Video Ken,Technology,Bangalore,Seed Funding,1000000.0,2017-04-21
Faasos,Food and Beverage,Pune,Private Equity,6300000.0,2017-04-24
Oyo Rooms,Technology,Gurgaon,Private Equity,250000000.0,2017-04-24
Toppr,Technology,Mumbai,Private Equity,3200000.0,2017-04-24
The Office Pass,Technology,Gurgaon,Seed Funding,245000.0,2017-04-25
UrbanClap,Technology,Gurgaon,Private Equity,3100000.0,2017-04-25
Awfis,Technology,Mumbai,Private Equity,20000000.0,2017-04-26
Flytxt,Technology,Mumbai,Private Equity,11000000.0,2017-04-26
Howdy Ventures,Technology,Chennai,Seed Funding,1500000.0,2017-04-26
StalkBuyLove,E-Commerce,New Delhi,Private Equity,1000000.0,2017-04-26
Scootsy,Technology,Mumbai,Private Equity,3600000.0,2017-04-27
iNurture,Technology,Bangalore,Private Equity,1500000.0,2017-04-27
Sepalika,Technology,New Delhi,Seed Funding,750000.0,2017-04-28
Ola,Technology,Bangalore,Private Equity,330000000.0,2017-01-03
Belong,Technology,Bangalore,Private Equity,10000000.0,2017-01-03
Celes Care,Technology,Hyderabad,Private Equity,1500000.0,2017-02-03
Karomi,Technology,Chennai,Seed Funding,500000.0,2017-02-03
Red Carpet,Technology,Gurgaon,Private Equity,2500000.0,2017-02-03
CreditMantri,Technology,Chennai,Private Equity,7600000.0,2017-02-03
Tydy,Technology,Bangalore,Seed Funding,275000.0,2017-03-03
Oho Shop,Technology,Ahmedabad,Private Equity,6700000.0,2017-03-03
Paytm Marketplace,E-Commerce,Bangalore,Private Equity,200000000.0,2017-03-03
iGenetics,Healthcare,Mumbai,Private Equity,19500000.0,2017-04-03
Juno Clinic,Technology,Mumbai,Seed Funding,1200000.0,2017-06-03
Summerlabel,Technology,Gurgaon,Seed Funding,150000.0,2017-06-03
PickMe,Technology,Mumbai,Private Equity,1790000.0,2017-06-03
Agrostar,Technology,Pune,Private Equity,10000000.0,2017-07-03
Zapr,Technology,Bangalore,Private Equity,10000000.0,2017-07-03
Data Resolve,Technology,Noida,Private Equity,1000000.0,2017-07-03
Book Servicing,Technology,New Delhi,Seed Funding,30000.0,2017-07-03
Blowhorn,Technology,Bangalore,Private Equity,3650000.0,2017-07-03
PipeCandy,Technology,Chennai,Seed Funding,1100000.0,2017-08-03
Supr Daily,Technology,Mumbai,Seed Funding,120000.0,2017-08-03
AppBrowzer,Technology,Bangalore,Seed Funding,500000.0,2017-09-03
MagicBricks,Technology,Mumbai,Private Equity,4500000.0,2017-09-03
PeeBuddy,Healthcare,New Delhi,Seed Funding,443000.0,2017-10-03
Lavelle Networks,Technology,Bangalore,Seed Funding,600000.0,2017-10-03
LatestOne,E-Commerce,Hyderabad,Private Equity,3350000.0,2017-03-15
Frapperz,Technology,Kolkata,Seed Funding,100000.0,2017-03-15
mPaani,Technology,Mumbai,Private Equity,1350000.0,2017-03-16
POPxo,Technology,New Delhi,Private Equity,3100000.0,2017-03-16
Fitso,Technology,Gurgaon,Seed Funding,200000.0,2017-03-16
Flipkart,E-Commerce,Bangalore,Private Equity,1400000000.0,2017-03-21
Airpay,Technology,Mumbai,Private Equity,3670000.0,2017-03-21
MyGlamm,Technology,Mumbai,Private Equity,5300000.0,2017-03-21
Haqdarshak,Technology,Bangalore,Seed Funding,191000.0,2017-03-22
Ixigo,Technology,Gurgaon,Private Equity,15000000.0,2017-03-23
Markets and Markets,Technology,Pune,Private Equity,56000000.0,2017-03-23
Bizom,Technology,Bangalore,Seed Funding,382000.0,2017-03-24
Delhivery,Technology,New Delhi,Private Equity,100000000.0,2017-03-24
Fynd,E-Commerce,Mumbai,Private Equity,500000.0,2017-03-28
DoneThing,Technology,Gurgaon,Private Equity,300000.0,2017-03-28
Ithaka,Technology,Mumbai,Seed Funding,325000.0,2017-03-29
perpule,E-Commerce,Bangalore,Seed Funding,650000.0,2017-03-29
Licious,E-Commerce,Bangalore,Private Equity,10000000.0,2017-03-29
Medinfi,Technology,Bangalore,Seed Funding,50000.0,2017-03-29
Jhakaas,Technology,Mumbai,Seed Funding,155000.0,2017-03-31
Oriano Solar,Technology,Mumbai,Private Equity,3000000.0,2017-03-31
BigBasket,E-Commerce,Bangalore,Private Equity,7000000.0,2017-03-31
Icertis,Technology,Pune,Private Equity,25000000.0,2017-03-31
Capital Float,Technology,Bangalore,Private Equity,2500000.0,2017-06-02
Inner Hour,Technology,Mumbai,Seed Funding,450000.0,2017-07-02
Travel Triangle,Technology,Noida,Private Equity,10000000.0,2017-07-02
Wandertrails,Technology,Bangalore,Seed Funding,1000000.0,2017-08-02
Zenatix,Technology,Gurgaon,Private Equity,1200000.0,2017-08-02
Cartrade,Technology,Mumbai,Private Equity,55000000.0,2017-08-02
Edurev,Technology,Gurgaon,Seed Funding,40000.0,2017-08-02
Voonik,E-Commerce,Bangalore,Private Equity,6000000.0,2017-09-02
Wooplr,E-Commerce,Bangalore,Private Equity,8000000.0,2017-09-02
48East,E-Commerce,Bangalore,Private Equity,500000.0,2017-10-02
Sigtuple,Technology,Bangalore,Private Equity,5800000.0,2017-02-13
Flutura,Technology,Bangalore,Private Equity,7500000.0,2017-02-13
Wassup,Technology,Chennai,Private Equity,3200000.0,2017-02-13
Better Mortgage,Technology,Gurgaon,Private Equity,15000000.0,2017-02-13
Nurturey,Technology,New Delhi,Seed Funding,330000.0,2017-02-13
Fyle,Technology,Bangalore,Seed Funding,400000.0,2017-02-13
GoBumpr,Technology,Chennai,Seed Funding,300000.0,2017-02-14
CCAvenue,Technology,Mumbai,Private Equity,22400000.0,2017-02-14
ZestMoney,Technology,Bangalore,Private Equity,6500000.0,2017-02-15
Truebil,Technology,Mumbai,Private Equity,3000000.0,2017-02-16
YourStory,Technology,Bangalore,Private Equity,3000000.0,2017-02-16
Imaginate,Technology,Hyderabad,Seed Funding,500000.0,2017-02-17
The Ken,Technology,Bangalore,Seed Funding,400000.0,2017-02-17
Urban Ladder,E-Commerce,Bangalore,Private Equity,15200000.0,2017-02-17
Leopetra,E-Commerce,Mumbai,Seed Funding,40000.0,2017-02-17
Blood n Care,Technology,Gurgaon,Seed Funding,40000.0,2017-02-18
Flipkart,E-Commerce,Bangalore,Private Equity,38700000.0,2017-02-20
True Balance,Technology,Gurgaon,Private Equity,15000000.0,2017-02-21
Vebbler,Technology,Bangalore,Seed Funding,40000.0,2017-02-22
Get My Parking,Technology,New Delhi,Private Equity,1100000.0,2017-02-23
Biryani By Kilo,Technology,Gurgaon,Seed Funding,375000.0,2017-02-27
Johari Shop,E-Commerce,Bangalore,Seed Funding,94000.0,2017-02-27
NeoStencil,Technology,New Delhi,Private Equity,1000000.0,2017-02-28
TaxSutra,Technology,Pune,Seed Funding,366000.0,2017-02-01
TempoGo,Technology,Panaji,Seed Funding,825000.0,2017-03-01
FreeCharge,Technology,Mumbai,Private Equity,57000000.0,2017-07-01
TicketNew,Technology,Chennai,Private Equity,35000000.0,2017-09-01
Intelligence Node,Technology,Mumbai,Private Equity,800000.0,2017-10-01
Securens,Technology,Mumbai,Private Equity,5000000.0,2017-10-01
Loan Frame,Technology,Gurgaon,Private Equity,2250000.0,2017-10-01
Medinfi,Technology,Bangalore,Seed Funding,100000.0,2017-10-01
LensKart,E-Commerce,Bangalore,Private Equity,3500000.0,2017-10-01
Hansel.io,Technology,Bangalore,Private Equity,1350000.0,2017-12-01
Square Yards,Technology,Gurgaon,Private Equity,10000000.0,2017-12-01
Roambee,Technology,Mumbai,Private Equity,4100000.0,2017-01-13
iService,Technology,Bangalore,Seed Funding,440000.0,2017-01-13
Unacademy,Technology,Bangalore,Private Equity,4500000.0,2017-01-14
ZoloStays,Technology,Bangalore,Private Equity,5000000.0,2017-01-16
HipCouch,Technology,Mumbai,Seed Funding,700000.0,2017-01-16
Curiositi,Technology,Bangalore,Private Equity,800000.0,2017-01-17
TinyStep,Technology,Bangalore,Private Equity,2000000.0,2017-01-17
Practo,Technology,Bangalore,Private Equity,55000000.0,2017-01-17
Ketchupp,Technology,New Delhi,Seed Funding,441000.0,2017-01-17
Hoopy,Technology,Gwalior,Seed Funding,500000.0,2017-01-17
Ezytruk,Technology,Bangalore,Seed Funding,147000.0,2017-01-17
Vahdam Teas,E-Commerce,New Delhi,Seed Funding,650000.0,2017-01-18
Qwikspec,Technology,Bangalore,Seed Funding,300000.0,2017-01-18
Weddingz.in,Technology,Mumbai,Private Equity,1000000.0,2017-01-19
MessaGif,Technology,New Delhi,Seed Funding,50000.0,2017-01-22
CueMath,Technology,New Delhi,Private Equity,15000000.0,2017-01-23
Khel Now,Technology,Bangalore,Private Equity,500000.0,2017-01-24
NowFloats,Technology,Hyderabad,Private Equity,10000000.0,2017-01-24
Lets Transport,Technology,Bangalore,Private Equity,4000000.0,2017-01-24
RML Agtech,Technology,Pune,Private Equity,4000000.0,2017-01-25
InstaSafe,Technology,Bangalore,Private Equity,2200000.0,2017-01-25
Infibeam,E-Commerce,Ahmedabad,Private Equity,8800000.0,2017-01-25
AirMed Labs,Technology,Ahmedabad,Private Equity,1400000.0,2017-01-26
99PerHour,Technology,Chennai,Seed Funding,300000.0,2017-01-26
Intuit Things,Technology,Mumbai,Seed Funding,106000.0,2017-01-30
Cloudrino,Technology,New Delhi,Seed Funding,22500.0,2017-01-30
FabX,E-Commerce,Mumbai,Seed Funding,68000.0,2017-01-30
Maptags,Technology,Bangalore,Seed Funding,18000.0,2017-01-30
Heads Up For Tails,E-Commerce,New Delhi,Private Equity,2000000.0,2017-01-31
SidQam,Technology,Noida,Private Equity,1200000.0,2016-01-12
India Lends,Technology,New Delhi,Private Equity,4000000.0,2016-01-12
Slide App,Technology,New Delhi,Private Equity,3600000.0,2016-01-12
Badiyajobs,Technology,New Delhi,Seed Funding,100000.0,2016-02-12
TYGR,Technology,Mumbai,Private Equity,3000000.0,2016-02-12
UrDoorStep,E-Commerce,Bangalore,Private Equity,1400000.0,2016-05-12
Diro Labs,Technology,New Delhi,Seed Funding,147000.0,2016-06-12
Revv,Technology,New Delhi,Private Equity,9000000.0,2016-07-12
WealthApp,Technology,Bangalore,Seed Funding,440000.0,2016-07-12
Zest Money,Technology,Mumbai,Private Equity,6500000.0,2016-08-12
GoMechanic,Technology,Gurgaon,Seed Funding,250000.0,2016-08-12
Stalk Buy Love,E-Commerce,New Delhi,Private Equity,6000000.0,2016-09-12
Wittyparot,Technology,Bangalore,Seed Funding,450000.0,2016-09-12
NeuroEquilibrium,Technology,Jaipur,Seed Funding,250000.0,2016-09-12
Xseed Education,Technology,Bangalore,Private Equity,10000000.0,2016-12-12
Rupaiya Exchange,Technology,New Delhi,Seed Funding,200000.0,2016-12-12
Doctor Insta,Technology,Gurgaon,Private Equity,2000000.0,2016-12-12
Fresh Food Concepts,Food and Beverage,New Delhi,Seed Funding,2000000.0,2016-12-12
Indifi,Technology,Gurgaon,Private Equity,10000000.0,2016-12-13
OfBusiness,E-Commerce,Gurgaon,Private Equity,11100000.0,2016-12-13
Qacco,Technology,Gurgaon,Seed Funding,150000.0,2016-12-14
Fitpass,Technology,New Delhi,Seed Funding,1000000.0,2016-12-14
Trading Bells,Technology,Indore,Seed Funding,297000.0,2016-12-14
SERV\\xe2\\x80\\x99D,Technology,Pune,Seed Funding,100000.0,2016-12-15
IdeaForge,Technology,Mumbai,Private Equity,10000000.0,2016-12-15
Amagi Media Labs,Technology,Mumbai,Private Equity,35000000.0,2016-12-15
Pocket Aces,Technology,Mumbai,Private Equity,3000000.0,2016-12-15
Pi Data Centers,Technology,Hyderabad,Private Equity,23000000.0,2016-12-16
TripShelf,Technology,New Delhi,Seed Funding,123000.0,2016-12-16
NoBroker,Technology,Bangalore,Private Equity,7400000.0,2016-12-19
VivoCarat,E-Commerce,Mumbai,Seed Funding,50000.0,2016-12-20
BYJU\\xe2\\x80\\x99s,Technology,Bangalore,Private Equity,15000000.0,2016-12-20
The BlueBook,Technology,Bangalore,Seed Funding,500000.0,2016-12-21
Vegetall,E-Commerce,Chennai,Seed Funding,162000.0,2016-12-21
Mindler,Technology,New Delhi,Seed Funding,324000.0,2016-12-22
MCaffeine,E-Commerce,Bangalore,Seed Funding,300000.0,2016-12-22
enKast,Technology,Bangalore,Private Equity,2000000.0,2016-12-23
Dekkho,Technology,Mumbai,Seed Funding,1200000.0,2016-12-26
ShopX,E-Commerce,Bangalore,Private Equity,5000000.0,2016-12-27
Healthifyme,Technology,Bangalore,Private Equity,1000000.0,2016-12-29
PickMyLaundry,Technology,New Delhi,Seed Funding,200000.0,2016-01-11
FreshDesk,Technology,Chennai,Private Equity,55000000.0,2016-02-11
LaundryAnna,Technology,Bangalore,Seed Funding,150000.0,2016-02-11
